type_concept_id,type_name
3566743,Patient miscellaneous administration data
3566752,"Education, employment and skills"
3566777,Notification administration
3566783,Health gain
3566785,Unitary authority
3566789,Personal relationship
3566801,Ecology
3566806,Sociology
3566809,Reason for referral
3566817,Paediatrics
3566819,Referral modes
3566833,Calorie
3566835,Epidemiology
3566839,European organisation
3566861,Request types
3566862,Exhibition
3566877,Health development
3566883,Impact assessment
3566887,Notifiable disease
3566900,Medical research
3566910,Governance
3566916,Certificates - administration
3566921,Waste disposal
3566924,Local policy
3566925,Diagnostic Imaging Summary Report
3566935,People with physical disability
3566939,Fulfiller request
3566947,Health inequality
3566971,County
3566975,Diaphragm check administration
3567004,Examination administration
3567007,Quality
3567016,Transport
3567020,Migrant worker
3567039,Project management
3567052,Food and nutrition
3567057,Helpline
3567064,Repeat medication
3567074,Waiting time
3567079,Women's refuge
3567091,General and acute services including accident and emergency
3567100,Attendance allowance examination administration
3567115,Disadvantaged group
3567130,Chronic obstructive pulmonary disease monitoring administration
3567139,Art
3567148,Read Code Administration 2
3567179,Test result
3567201,Employment legislation
3567208,Probation work
3567214,Hypertension screening administration
3567222,Cyclist
3567247,Needle use
3567256,Guideline
3567267,Employment
3567271,Health characteristics
3567287,Insulation
3567296,EHR content specifications
3567305,Organisational change
3567335,Self related health
3567344,Ethics
3567365,Psychological determinant
3567366,Well man monitoring administration
3567367,Employment terms
3567374,Research administration
3567375,Free prescription administration
3567378,Telecommunication
3567391,Hygiene
3567395,Family planning
3567403,Aetiology
3567405,International issue
3567420,Well adult monitoring administration
3567465,Elective service
3567466,GP out of hours service administration
3567468,Racing driver medical administration
3567470,Computer network
3567481,Economic development
3567529,Special activities examination administration
3567571,People with dementia
3567572,Laboratory service
3567576,Knowledge
3567580,Email
3567581,Time factor
3567586,Employment trends
3567593,Interprofessional working
3567602,Quarter 1 2010 HASTINGS
3567631,Charity
3567670,Registration information
3567676,Frame of reference
3567690,Diagnostic Imaging Procedure Report
3567720,Water accident
3567722,Drug stock control administration
3567741,Custodial care
3567746,Environmental health
3567754,Public sector
3567766,Cost effectiveness
3567772,Left ventricular dysfunction monitoring administration
3567773,Behavioural science
3567787,Stock order GP10A administration
3567793,SC2 - self-certificate administration
3567799,Anti-smoking monitoring administration
3567803,Caldicott
3567810,Youth work
3567842,Government initiative
3567848,Food and drink industry
3567849,Long term unemployment
3567854,Specific health measure
3567864,Chemical
3567865,Local education authority
3567870,Quarter 3 2005 ZORNDORF
3567874,Health promotion unit
3567902,Pre-school setting
3567908,Social class
3567909,Request administration
3567912,Questionnaire
3567917,Living condition
3567933,Community information and advice service
3567937,Patients' Association
3567961,Informatics
3567969,Emergency planning
3567977,Consumer information
3568002,National statistics socioeconomic classification
3568011,Telephone contact only
3568015,Contact allergy
3568039,Patient call administration
3568044,Regional development
3568063,Tropical disease
3568092,Ageing population
3568096,Review
3568100,Diagnostic Imaging Report Header
3568120,People with visual disability
3568122,Health region
3568152,Quarter 2 1996 IGNITION
3568164,Clinical trial administration
3568177,Taxation
3568218,Traffic free route
3568225,Asthma monitoring administration
3568227,Food safety
3568259,Bill/fee sent
3568276,Reactive Personal Preferences - Care Record Element
3568306,Safe sex
3568308,People with hearing disability
3568311,Clinic monitoring administratn
3568341,Air quality
3568350,Technology
3568353,Family history - heading
3568376,Parish
3568389,Social issue
3568405,Music
3568409,Patient choice
3568414,Teaching method
3568421,Offender
3568481,Commissioning
3568484,Leave payment administration
3568486,Expectant parent
3568503,Public transport
3568533,Mental health monitoring administration
3568543,Causes of harm
3568591,Personal safety
3568607,Community social work
3568645,New appointment
3568677,Prescription record
3568684,Ambulatory service
3568686,Policy maker
3568698,Human rights
3568703,Smoking cessation
3568715,Income inequality
3568745,Gypsies and travellers
3568752,Community growing scheme
3568759,Survey
3568766,Community nursing
3568788,Quantitative research
3568810,Past health characteristics
3568814,Genetics
3568847,Control group
3568861,Dancing
3568866,International policy
3568893,Reason for encounter
3568921,Access to information
3568922,Provider
3568943,Cycling
3568958,Food regulation
3568986,Community participation
3569030,Terrorism
3569041,Population change
3569054,Examination administration
3569073,Patient information
3569094,Relevant supporting information for diagnostic imaging request
3569099,Primary care service
3569120,Performance indicator
3569147,Area based classification
3569159,Manufacturing industry
3569164,Budget
3569165,Pneumococcal vaccination administration
3569196,Diagnosis
3569211,Salary
3569214,Child immunisation administration
3569222,Staff administration
3569239,Child development
3569247,Setting and place
3569255,Strategic plan
3569258,Nuclear energy
3569288,All causes of morbidity and mortality
3569289,Weight training
3569307,GP/CHS paediatric surveillance administration
3569344,Voluntary agencies regional policy
3569361,Incidence
3569368,Private health care
3569373,GP13 form ex HM forces registration
3569374,Patient registration data
3569391,Parole work
3569402,Care Plans
3569405,Very old people
3569438,People and populations
3569448,Accounting administration
3569451,Medical examinations administration
3569470,Other items of service administration
3569471,Lipid disorder monitoring administration
3569505,Science and technology
3569517,Biomedical science
3569554,Hypertension clinic administration
3569561,Information dissemination and exchange
3569563,Biotechnology
3569584,National Health Service
3569598,Cost benefit analysis
3569603,Anonymised copy of record
3569619,Information
3569626,Illegal sale
3569639,Taxi driver examination administration
3569688,Incoming mail
3569704,Amended pathology report
3569740,Drug policy
3569752,Relationship
3569818,Task force
3569828,Improvement grant administration
3569845,Small and medium sized enterprises
3569848,Census ed/oa
3569861,Patient registration data NOS
3569866,Supranational issue
3569882,Social indicator
3569886,Target group
3569894,Regional variation
3569899,Household
3569904,Clinical governance
3569907,Grid reference
3569929,Cervical smear screening third letter
3569939,Open learning
3569956,Pension
3570000,Harm reduction
3570017,Diagnostic imaging request summary
3570026,Food supply
3570042,Case study
3570058,Action research
3570059,Inpatient services
3570078,Factory inspection notification administration
3570113,Healthy eating
3570116,Community development worker
3570117,Community mental health service
3570120,Summary health
3570127,Anatomy
3570128,Drug trial administration
3570142,Geriatric screening administration
3570151,Socioenvironmental factor
3570161,Health education
3570167,Community disease modifying antirheumatic drug monitoring administration
3570183,Self employment
3570184,Food poverty
3570199,Transport plan
3570203,Cancer monitoring administration
3570235,Public place
3570245,Health care
3570246,Business
3570250,Database
3570269,Determinant of health
3570273,Encounter administration
3570274,Personalised data
3570319,Pollutant
3570344,Behavioural change
3570349,Regional government
3570350,Health ethic
3570365,Physical education
3570404,Present - time
3570418,Community action
3570421,Malingerer - administration
3570428,Health target
3570436,Small group work
3570467,Child development check administration
3570546,Address instruction
3570566,Food access
3570576,Capacity building
3570605,Ancillary staff administration
3570614,Social service district
3570629,Job evaluation
3570659,Hard to reach group
3570669,National service framework
3570680,Payment administration
3570719,Health promotion model
3570732,Past
3570733,Community charge exemption administration
3570736,Vulnerable group
3570744,Relevant clinical information for diagnostic imaging request
3570761,Quality control
3570777,Electoral region
3570781,Interagency working
3570789,Distance learning
3570817,Strategic health authority
3570838,Accident and emergency admission and progress record
3570841,Diabetes clinic administration
3570862,Health indicator
3570878,Fulfiller request details
3570894,Depression monitoring administration
3570895,Staff disciplinary administration
3570914,Government policy
3570917,Sickness absence
3570923,Fire service
3570929,Research method
3570967,SNOMED CT UK administrative concepts
3570976,Ambulance service
3570990,Interview
3570994,Catering
3571004,International law
3571005,Voluntary agencies local policy
3571035,Pre-employment examination/report administration
3571051,Patient right
3571062,Acute medication
3571076,Social circumstances
3571079,Performance and assessment framework
3571083,Census district
3571084,Local community
3571091,Air transport
3571092,Organic nutrition
3571125,Age group
3571141,Item of service administration
3571148,Food hygiene
3571154,"Death, disease and disability"
3571164,Peer education
3571165,Alcohol policy
3571217,Service utilisation
3571218,Sports medicine
3571223,Statistical data
3571231,Funding
3571260,Service provision
3571278,Pre-school children
3571281,Sun protection
3571298,Social marketing
3571320,Community health
3571321,Long term condition
3571322,Religious group
3571326,Human resource management
3571564,Report from Health Visitor
3571658,Staff pay reimbursement: [ANC2/3] or [GP/PS4]
3571817,(HC1 &/or ANC5/6 staff pay reimb) or (HC1 - health centre staff claim)
3572555,Food preparation
3572558,People with learning disability
3572559,Resource management
3572563,Sun safe policy
3572584,Agricultural industry
3572585,Sexual violence
3572586,Travelling
3572587,Post-mortem report: [Coroner] or [Police surg.]
3572826,Leave administration
3572959,Oral contraceptive administration
3573729,Procedure codes (community)
3573745,Clinical document
3573758,Supply of drugs payment administration
3573884,Minor surgery claim admin. (& claim: [FP/MS] or [GP/MS])
3574000,Stop smoking monitoring admin: [monitoring] or [clinic]
3574024,"Clinic ""A"" monitoring admin."
3574125,Quarter 1 2004 BOSWORTH
3574147,Outpatient letter
3574190,Inpatient nursing note
3574381,Staff statutory sick pay administration
3574895,Death administration NOS
3574907,Injection given (& minor surgery )
3574910,Items of service admin NOS
3574912,RAN1/2/3-related staff reimbursement (& form)
3574916,Postal vote application &/or RPF7
3574920,Certificates admin. NOS
3574922,Drug stock control admin. (& Stock order GP10A)
3574923,Accounting admin. NOS
3574925,Patient did not attend: [no reason] or [defaulted from f/u]
3574926,Malingerer (& admin)
3574927,"Patient ""call"" admin. NOS"
3574928,Child development check administration NOS
3574930,Smear abnormal - patient notified (& told)
3574931,Cervical smear admin. NOS
3574932,Oral contraceptive check administration NOS
3574933,Hypertension screening administration NOS
3574934,Geriatric screening administration NOS
3574936,Hypertension monitoring administration NOS
3574937,New patient screening administration NOS
3574938,Hormone replace monitoring NOS
3574939,Confidential patient data (& held)
3574967,Geriatric monitor.admin.NOS
3575011,Mobility allowance representative claim administration
3575044,Maternity services admin NOS
3575052,Supply of drugs payment NOS
3575056,Training/seniority/leave NOS
3575059,Infectious dis notific admin (& food poison)
3575060,"Mental health administration (& patient ""sectioned"")"
3575061,Admit to hosp-assess (& non urg): [Form 4] or [Form 3 sec18]
3575063,Medical recommendation: [Form 7] or [Form A]
3575064,Nearest relative recommendation: [Form 7] or [Form A]
3575066,Obesity administration: [monitoring] or [clinic]
3575067,Obesity monitoring admin.NOS
3575068,Diabetes monitoring administration NOS
3575069,Stress monitoring admin.NOS
3575070,Stop smoking monitor admin.NOS
3575071,Well woman admin: [monitoring] or [clinic]
3575072,Well woman monitor.admin.NOS
3575074,Well man monitor.admin.NOS
3575075,Well adult monitor.admin.NOS
3575076,Clinic A monitoring admin.NOS
3575078,Clinic B monitoring admin.NOS
3575079,Clinic C monitoring admin.NOS
3575132,Assessment
3575148,"(Cremation certification) or (Stat B, C and F cremation certs)"
3575153,General anaesth. 2nd GP (&claim): [FP31] or [GP31]
3575155,Minor surg.claim NOS: [FP/MS] or [GP/MS]
3575156,New patient check admin/form: [FP/RF] or [GP/RF]
3575157,Ancillary staff administration (& [reimbursement])
3575160,Staff statutory sick pay admin (& SC1 - given to staff)
3575161,SC1 - self certificate (& admin)
3575163,(SD86 C superannuation form) or (SD86 - GP superannuation pay summary)
3575164,(Provider of encounter) or (seen by: [member of Primary Health Care Team] or [health carer] or [professional])
3575167,Child surveillance administration NOS
3575169,Immunisation service administration NOS
3575170,Ancillary staff admin. NOS
3575171,Community charge admin. NOS
3575173,Mental health admin. NOS
3575175,Home visit admin NOS
3575176,"Patient ""recall"" admin. NOS"
3575177,Child immunisation administration NOS
3575179,Rubella antibody screening administration NOS
3575180,Intrauterine device follow-up administration NOS
3575181,Diaphragm check administration NOS
3575182,Adult screening administration NOS
3575183,Chronic disease monitoring administration NOS
3575184,Adult immunisation administration NOS
3575185,Breast screening administration NOS
3575186,Asthma monitoring administration NOS
3575187,Clinic D monitoring admin.NOS
3575188,Influenza vaccination administration NOS
3575190,Prevention administration NOS
3575191,Clinical trial admin. NOS
3575192,Research administration NOS
3575193,Administration NOS
3575211,Reports - administration
3579663,Emergency
3579678,Mental health service
3579680,Nursing
3579686,Point
3579690,Psychology
3579791,Analysis
3579792,Area
3579793,Effectiveness
3579794,Jogging
3579796,Health
3579797,Primary Care Trust
3579799,Public health medicine
3579801,Surgical service
3579802,Swimming
3579803,Emergency medical services
3585058,Screening method NOS
3586094,Upper gastrointestinal endoscopy care plan
3586968,End of life advance care plan
3587533,Discharge care plan
3655671,Encounter note
3655672,General patient record note
3656341,Cervical papanicolaou smear and human papillomavirus deoxyribonucleic acid detection cotesting report
3656349,Maternity nurse navigator note
3657457,Ultrasound scan image
3657458,Eye investigation report
3657480,Primary care diary entry
3657494,Supply of medication for minor illness by community pharmacy
3667403,Quarter 4 1994 VICTORIA
3667404,Quarter 3 2004 GERGOVIA
3667405,Quarter 3 2006 EDGEHILL
3667406,Quarter 1 1994 SICKNESS
3667407,Quarter 4 1992 PERVIOUS
3667402,Quarter 3 2007 GRUNWALD
3667376,Quarter 3 1998 RAYMONDE
3667377,Quarter 2 1995 STRENGTH
3667378,Quarter 1 2001 LESNIKIA
3667379,Quarter 2 1992 PATERNAL
3667380,Quarter 1 2006 FREIBURG
3667382,Quarter 1 1992 FURLOUGH
3667383,Quarter 1 2008 CALDIERO
3667384,Quarter 1 1997 CHADWICK
3667385,Quarter 1 1998 OCLOISIG
3667386,Quarter 2 1997 SANTIAGO
3667387,Quarter 4 1993 LOVINGLY
3667388,Quarter 3 1992 MINORITY
3667389,Quarter 4 1998 FLETCHER
3667390,Quarter 3 1999 LOVERING
3667391,Quarter 3 1996 SIKORSKY
3667392,Quarter 1 2005 GRANICUS
3667393,Quarter 4 1995 BEARINGS
3667394,Quarter 4 1997 HATFIELD
3667395,Licence Serial No. !!!!
3667397,Quarter 3 1997 BJELLAND
3667398,Quarter 3 2001 MELVILLE
3667399,Quarter 1 2000 BORODINO
3667400,Quarter 1 1999 FLUORIDE
3667401,Quarter 3 2000 BLENHEIM
4026071,Appointment
4037805,Report
4037806,Allowance
4046783,Statement of special educational needs
4077363,Training grant
4077368,"Stat B,C and F cremation certs"
4077383,Review appointment
4077489,Prescription exemption certificate
4078139,Postgraduate training allowance
4081754,Medical follow-up
4081757,Mental therapy follow-up
4083147,Employment report - no examination
4083148,Government department employee - report only
4083149,Local authority employee - report
4083151,Special activities med report
4083284,BAAF C-infant report sent
4083285,BAAF D-child 2+yrs rep sent
4083336,E-mail report
4083337,Duplicate report
4083730,Computer record of patient
4083732,Family record folder
4083733,Repeat prescription card
4083735,Patient record types NOS
4083874,Shotgun application certificate
4083888,Insurance report - travel cancelation
4083890,Social security claim report
4083891,Application to register disabled report
4083892,Disabled registration application - minimal report
4084034,Other specified reports
4084046,BAAF C/D-adopt:child report
4084141,Telephoned report
4084142,Verbal report
4084371,Medical follow-up - normal
4084771,Faxed report
4084772,Interim report
4085157,Screening method
4085615,Power of attorney medical report
4086462,Age-sex card record
4086468,Obstetric co-op card
4086470,Obstetric co-op card duplicate
4086624,NHS employee report - no examination
4086960,Patient record type
4086961,Computer record print
4086963,Kick chart
4087111,Staff employment contract
4087133,Disabled registration application - full report
4087271,Report from Health Visitor
4087274,Report to benefits agency
4088891,Private account
4089041,Emergency appointment
4089199,Screening method NOS
4104941,Amended report
4121660,Administrative form
4125050,Legal report
4134417,Regulatory notes
4141541,DSS RMO RM2 report
4145384,Report types
4145387,Record type
4146323,Death certificate
4148750,BAAF Adult 1/2 - adoption: applicant report
4148902,Disabled drivers orange badge
4149318,Cremation certificate
4150537,Report to Drug Safety Research Unit
4150569,Housing report
4151558,Medical certificate of still-birth
4151560,Coroner's postmortem report
4151567,Driver license fitness report
4151568,Mobility allowance claim representative
4151570,Court of protection certificate
4152824,Disabled driver orange badge report
4152851,Curator bonis certificate
4154269,Clinical procedure report
4154270,Pathology report
4154271,Transfer summary report
4154272,Targeted history and physical report
4154273,Confirmatory consultation report
4154274,Educational visit report
4154625,Solicitors report
4155381,Report for Coroner
4155385,Postmortem report
4155391,Life assurance - preliminary report
4155394,Solicitors court allowance
4155780,Operative report
4155781,Encounter report
4155782,Consent report
4155783,Advance directive report
4155784,Conference report
4155785,Admission history and physical report
4155786,Comprehensive history and physical report
4157083,BAAF B1/2 - adoption: birth history
4160018,Administrative information
4160165,CMS supervisory note
4160356,History and physical report
4160357,Summary report
4160358,Supervising physician report
4160359,Provider comment report
4160594,Adult echocardiography procedure report
4161181,Clinical report
4161182,Radiology report
4161183,Clinical consultation report
4161184,Progress report
4161185,Flow sheet report
4162225,Relief note
4168200,PACU record
4168945,Record artifact
4190094,Cancer shared care medication card
4190568,Procedure codes (community)
4191047,Discharge summary
4198447,Heartsave card
4202163,Report for Procurator-Fiscal
4202307,DLA 370 report
4202308,BAAF C infant report
4202312,War pensions report
4202327,Grants
4203891,Employment report
4203895,DS 1500 report
4204638,Police surgeon postmortem report
4205412,BAAF D-child 2+yrs report
4205517,RM10-DHSS DMO report
4205531,Certificate
4209092,Adoption - birth history report
4211816,Perioperative record
4211936,Intraoperative record
4211944,Written operative report
4212052,Anesthesia record
4213265,Nursing intraoperative record
4216893,Dictated operative report
4219282,Record of health event
4220000,Perfusion record
4220288,Surgical intraoperative record
4223002,"College of American Pathologists Cancer Checklist; Prostate Gland:Transurethral Prostatic Resection (TUR), Enucleation Specimen"
4224283,Statement of needs
4225641,College of American Pathologists Cancer Checklist; Appendix: Resection
4226416,College of American Pathologists Cancer Checklist; Anus: Resection
4226417,College of American Pathologists Cancer Checklist; Brain/Spinal Cord: Biopsy/Resection
4226418,College of American Pathologists Cancer Checklist; Colon and Rectum: Excisional Biopsy (Polypectomy)
4226419,College of American Pathologists Cancer Checklist; Rectum: Local Excision (Transanal Disk Excision)
4226420,"College of American Pathologists Cancer Checklist; Endometrium: Hysterectomy, With or Without Other Organs or Tissues"
4227109,College of American Pathologists Cancer Checklist; Esophagus: Biopsy
4227110,College of American Pathologists Cancer Checklist; Upper Aerodigestive Tract and Minor Salivary Glands: Incisional and Excisional Biopsy/Resection
4227111,College of American Pathologists Cancer Checklist; Major Salivary Glands: Resection
4227112,College of American Pathologists Cancer Checklist; Trophoblast: Dilation and Curettage/Resection
4227113,College of American Pathologists Cancer Checklist; Testis: Retroperitoneal Lymphadenectomy
4227114,College of American Pathologists Cancer Checklist; Stomach: Biopsy
4227233,College of American Pathologists Cancer Checklist; Melanoma of the Skin: Excision; Re-Excision
4227234,College of American Pathologists Cancer Checklist; Gastrointestinal Lymphoma: Resection
4227235,College of American Pathologists Cancer Checklist; Hodgkin Lymphoma: Biopsy/Staging Procedure
4227236,"College of American Pathologists Cancer Checklist; Kidney: Nephrectomy, Partial or Radical"
4227237,College of American Pathologists Cancer Checklist; Lung: Biopsy
4227240,"College of American Pathologists Cancer Checklist; Retinoblastoma: Enucleation, Partial or Complete Exenteration"
4228105,College of American Pathologists Cancer Checklist; Prostate Gland: Needle Biopsy
4229876,College of American Pathologists Cancer Checklist; Ampulla of Vater: Pancreaticoduodenectomy
4229878,College of American Pathologists Cancer Checklist; Anus: Excisional Biopsy
4229879,"College of American Pathologists Cancer Checklist; Bone Marrow: Blood Film, Aspirate, Cell Block, Trephine Biopsy, Touch Imprint"
4230012,College of American Pathologists Cancer Checklist; Uveal Melanoma: Resection
4230013,College of American Pathologists Cancer Checklist; Vagina: Biopsy
4230014,"College of American Pathologists Cancer Checklist; Vagina: Excisional Biopsy, Resection"
4230015,College of American Pathologists Cancer Checklist; Uterine Cervix: Cone Biopsy
4230016,"College of American Pathologists Cancer Checklist; Uterine Cervix: Colpectomy, Hysterectomy, Pelvic Exenteration"
4230017,"College of American Pathologists Cancer Checklist; Thymoma and Thymic Carcinoma: Thymectomy, Other Procedure"
4230018,College of American Pathologists Cancer Checklist; Gallbladder: Resection/Cholecystectomy
4230020,College of American Pathologists Cancer Checklist; Kidney: Biopsy
4230021,College of American Pathologists Cancer Checklist; Lung: Resection
4230022,"College of American Pathologists Cancer Checklist; Ovary: Oophorectomy, Salpingo-oophorectomy, Subtotal Oophorectomy or Removal of Tumor in Fragments, Hysterectomy with Salpingo-oophorectomy"
4230023,"College of American Pathologists Cancer Checklist; Pancreas (Endocrine): Excisional Biopsy (Enucleation), Resection"
4230024,"College of American Pathologists Cancer Checklist; Rhabdomyosarcoma and Related Neoplasms: Excision, Local or Wide; Compartmentectomy; Excision, Radical; Amputation; Other"
4231835,Administrative documentation
4233932,College of American Pathologists Cancer Checklist; Adrenal gland: Resection
4233933,College of American Pathologists Cancer Checklist; Anus: Local Excision (Transanal Disk Excision)
4233934,College of American Pathologists Cancer Checklist; Esophagus: Resection
4233935,College of American Pathologists Cancer Checklist; Extrahepatic Bile Ducts: Resection
4233936,College of American Pathologists Cancer Checklist; Thyroid: Resection
4233937,College of American Pathologists Cancer Checklist; Thymoma and Thymic Carcinoma: Biopsy
4233939,College of American Pathologists Cancer Checklist; Pleura/Pericardium: Resection
4234046,College of American Pathologists Cancer Checklist; Stomach: Resection
4234047,"College of American Pathologists Cancer Checklist; Fallopian Tube: Unilateral Salpingectomy, Salpingo-oophorectomy, or Hysterectomy with Salpingo-oophorectomy"
4234048,"College of American Pathologists Cancer Checklist; Prostate Gland: Needle Biopsy, Transurethral Prostatic Resection (TUR), Enucleation Specimen"
4234157,Prescription record
4235259,Patient held cardiac record issued
4235553,College of American Pathologists Cancer Checklist; Prostate Gland: Radical Prostatectomy
4235554,College of American Pathologists Cancer Checklist; Carcinoma of the Skin: Resection
4247106,Patient held diabetic record issued
4247129,College of American Pathologists Cancer Checklist; Ampulla of Vater: Ampullectomy
4247130,"College of American Pathologists Cancer Checklist; Urinary bladder, Ureter, Renal Pelvis: Biopsy"
4247243,"College of American Pathologists Cancer Checklist; Urinary bladder: Cystectomy, Partial, Total, or Radical; Anterior Exenteration"
4247244,"College of American Pathologists Cancer Checklist; Renal pelvis: Resection/Nephroureterectomy, Partial or Complete"
4247245,College of American Pathologists Cancer Checklist; Ureter: Resection
4247246,"College of American Pathologists Cancer Checklist; Breast: Excision Less Than Total Mastectomy (Includes Wire-Guided Localization Excisions); Total Mastectomy, Modified Radical Mastectomy, Radical Mastectomy"
4247247,College of American Pathologists Cancer Checklist; Colon and Rectum: Resection
4247248,College of American Pathologists Cancer Checklist; Endometrium: Biopsy
4247249,College of American Pathologists Cancer Checklist; Vulva: Excisional Biopsy/Resection
4247251,College of American Pathologists Cancer Checklist; Pleura/Pericardium: Biopsy
4247252,College of American Pathologists Cancer Checklist; Testis: Radical Orchiectomy
4247253,"College of American Pathologists Cancer Checklist; Small Intestine: Polypectomy, Segmental Resection, Pancreaticoduodenectomy, Partial or Complete, With or Without Partial Gastrectomy (Whipple Resection)"
4247254,College of American Pathologists Cancer Checklist; Heart: Resection
4247255,College of American Pathologists Cancer Checklist; Liver: Resection
4247256,"College of American Pathologists Cancer Checklist; Non-Hodgkin Lymphoma: Biopsy, Resection"
4247258,College of American Pathologists Cancer Checklist; Pancreas (Exocrine): Resection
4247259,College of American Pathologists Cancer Checklist; Peritoneum: Resection
4247362,College of American Pathologists Cancer Checklist; Kidney: Resection for Wilms Tumor
4249126,Summary of needs
4252873,College of American Pathologists Cancer Checklist; Neuroblastoma: Resection
4255397,Patient held record
4257533,College of American Pathologists Cancer Checklist; Primitive Neuroectodermal Tumor / Ewing Sarcoma: Resection
4265586,Coding schema
4306810,Summary clinical document
4306994,College of American Pathologists Cancer Checklist; Soft Tissue: Resection
4307151,Family history section
4307572,Assessment AND plan section
4307693,History of present illness section
4307709,Battery entry
4307844,Document section
4307845,College of American Pathologists Cancer Checklist; Soft Tissue: Biopsy
4307849,Chief complaint section
4308606,College of American Pathologists Cancer Checklist; Bone: Biopsy
4308642,Review of systems section
4309074,Record organizer
4309090,Record document part
4309829,Clinical document
4310291,Clinical statement entry
4313038,Results section
4313046,Plan section
4313190,College of American Pathologists Cancer Checklist; Bone: Resection
4313459,Record composition
4314171,Physical exam section
4314306,Record extract
4314936,Assessment section
4322222,Record entry
35609034,Withdraw Assessment Notice Only under the Care Act 2014 Schedule 3
35609120,Senior reviewing clinician
35609121,Individual requirements
35609440,Investigation results
35609529,Endoscopic ultrasound report
35609559,Endobronchial ultrasound report
35609560,Endoscopic retrograde cholangiopancreatography report
35609561,Airway endoscopy report
35609913,Investigations and procedures requested
35610106,Resuscitation plan
35610107,Paediatric resuscitation plan
35610364,Care Programme Approach supervision register
35610366,Care Programme Approach care plan
35610436,Voice of the Child narrative
35610514,Prevention of delirium care plan
35610556,Reasonable adjustments for health and care access
35610619,End of life advance care plan
35610635,Cystoscopy report
35610636,Combined upper and lower gastrointestinal tract endoscopy report
35610669,Surgical care plan
35610670,Plastic surgery care plan
35610671,"Birth to 25 education, health and care plan"
35621902,Program of study for child with special needs
35621954,Mental health care program approach contingency plan
35622012,Mental health care program approach crisis plan
35622832,Aid prescription record
35623157,Non-drug prescription record
35630656,Paediatric care plan
35630657,Paediatric burns care plan
35630658,Paediatric cardiac surgery care plan
35630659,Paediatric cardiology care plan
35630660,Paediatric cochlear implant care plan
35630661,Paediatric cystic fibrosis care plan
35630662,Paediatric dentistry care plan
35630663,Paediatric dermatology care plan
35630664,Paediatric diabetic medicine care plan
35630665,Paediatric ear nose and throat care plan
35630666,Paediatric emergency medicine care plan
35630667,Paediatric endocrinology care plan
35630668,Paediatric epilepsy care plan
35630669,Paediatric gastroenterology care plan
35630670,Paediatric gastrointestinal surgery care plan
35630671,Paediatric infectious diseases care plan
35630672,Paediatric maxillofacial surgery care plan
35630673,Paediatric medical oncology care plan
35630674,Paediatric nephrology care plan
35630675,Paediatric neurodisability care plan
35630676,Paediatric neurology care plan
35630677,Acute medicine care plan
35630678,Adolescent mental health care plan
35630679,Adult cystic fibrosis care plan
35630680,Adult intensive care care plan
35630681,Antenatal care plan
35630682,Anticoagulation care plan
35630683,Art therapy care plan
35630684,Assertive Outreach care plan
35630685,Asthma action plan
35630686,Blood transfusion care plan
35630687,Breast screening care plan
35630688,Cardiac rehabilitation care plan
35630689,Cardiothoracic surgery care plan
35630690,Cardiothoracic transplantation care plan
35630691,Care of the elderly care plan
35630692,Pulmonary rehabilitation programme plan
35630693,Prosthetic care plan
35630694,Psychiatric intensive care plan
35630695,Psychology care plan
35630696,Psychotherapy care plan
35630697,Refractive surgery care plan
35630698,Community rehabilitation care plan
35630699,Complex specialised rehabilitation care plan
35630700,Rehabilitation psychiatry care plan
35630701,Remote care monitoring care plan
35630702,Remote health monitoring care plan
35630703,Remote triage and advice plan
35630704,Respiratory medicine care plan
35630705,Restorative dentistry care plan
35630706,Rheumatology care plan
35630707,School nursing care plan
35630708,Community sexual and reproductive health care plan
35630709,Special care baby care plan
35630710,Specialist multidisciplinary care plan
35630711,Specialist palliative care plan
35630712,Specialist rehabilitation care plan
35630713,Speech and language therapy care plan
35630714,Community speech and language therapy care plan
35630715,Hospital speech and language therapy care plan
35630716,Spinal injury care plan
35630717,Spinal surgery care plan
35630718,Sport and exercise medicine care plan
35630719,Community podiatry care plan
35630720,Strabismus surgery care plan
35630721,Substance misuse care plan
35630722,Surgical dentistry care plan
35630723,Surgical oncology care plan
35630724,Swallow clinic care plan
35630725,Therapy services care plan
35630726,Trauma and orthopaedics care plan
35630727,Trauma surgery care plan
35630728,Tropical medicine care plan
35630729,Urological oncology care plan
35630730,Urology care plan
35630731,Vitreoretinal surgery care plan
35630732,Well baby care plan
35630733,Well man care plan
35630734,Well woman care plan
35630735,Young disabled care plan
35630737,Occupational health care plan
35630738,Occupational therapy care plan
35630739,Community occupational therapy care plan
35630740,Hospital occupational therapy care plan
35630741,Ophthalmic plastic surgery care plan
35630742,Ophthalmic surgery care plan
35630743,Ophthalmology care plan
35630744,Oral surgery care plan
35630745,Orthodontic care plan
35630746,Orthopaedic care plan
35630747,Orthotic care plan
35630748,Osteopathic manipulative medicine care plan
35630749,Paediatric genetics care plan
35630750,Paediatric neurology oncology care plan
35630751,Paediatric neurosurgery care plan
35630752,Paediatric oncology care plan
35630753,Paediatric ophthalmology care plan
35630754,Paediatric pain management care plan
35630755,Paediatric plastic surgery care plan
35630756,Paediatric respiratory medicine care plan
35630757,Paediatric rheumatology care plan
35630758,Paediatric surgery care plan
35630759,Paediatric thoracic surgery care plan
35630760,Paediatric transplantation surgery care plan
